Entity,Year,Number_of_disasters
Extreme weather,1963,21
Extreme weather,1964,22
Extreme weather,1965,19
Extreme weather,1966,28
Extreme weather,1967,25
Extreme weather,1968,25
Extreme weather,1969,25
Extreme weather,1970,24
Extreme weather,1971,22
Extreme weather,1972,26
Extreme weather,1973,22
Extreme weather,1974,28
Extreme weather,1975,28
Extreme weather,1976,36
Extreme weather,1977,32
Extreme weather,1978,42
Extreme weather,1979,31
Extreme weather,1980,42
Extreme weather,1981,50
Extreme weather,1982,52
Extreme weather,1983,59
Extreme weather,1984,57
Extreme weather,1985,51
Extreme weather,1986,56
Extreme weather,1987,58
Extreme weather,1988,60
Extreme weather,1989,73
Extreme weather,1990,137
Extreme weather,1991,66
Extreme weather,1992,76
Extreme weather,1993,108
Extreme weather,1994,81
Extreme weather,1995,81
Extreme weather,1996,77
Extreme weather,1997,79
Extreme weather,1998,88
Extreme weather,1999,106
Extreme weather,2000,102
Extreme weather,2001,105
Extreme weather,2002,122
Extreme weather,2003,86
Extreme weather,2004,124
Extreme weather,2005,130
Extreme weather,2006,76
Extreme weather,2007,105
Extreme weather,2008,111
Extreme weather,2009,87
Extreme weather,2010,94
Extreme weather,2011,84
Extreme weather,2012,90
Extreme weather,2013,105
Extreme weather,2014,99
Extreme weather,2015,118
Extreme weather,2016,84
Extreme weather,2017,85
Extreme weather,2018,84
Extreme weather,2019,85
Flood,1950,10
Flood,1951,7
Flood,1952,4
Flood,1953,12
Flood,1954,9
Flood,1955,3
Flood,1956,9
Flood,1957,11
Flood,1958,3
Flood,1959,13
Flood,1960,7
Flood,1961,8
Flood,1962,8
Flood,1963,8
Flood,1964,22
Flood,1965,19
Flood,1966,23
Flood,1967,26
Flood,1968,20
Flood,1969,14
Flood,1970,31
Flood,1971,15
Flood,1972,15
Flood,1973,20
Flood,1974,19
Flood,1975,17
Flood,1976,17
Flood,1977,48
Flood,1978,47
Flood,1979,34
Flood,1980,39
Flood,1981,43
Flood,1982,48
Flood,1983,49
Flood,1984,47
Flood,1985,58
Flood,1986,50
Flood,1987,68
Flood,1988,76
Flood,1989,46
Flood,1990,60
Flood,1991,77
Flood,1992,59
Flood,1993,84
Flood,1994,88
Flood,1995,94
Flood,1996,92
Flood,1997,95
Flood,1998,94
Flood,1999,122
Flood,2000,157
Flood,2001,157
Flood,2002,172
Flood,2003,158
Flood,2004,128
Flood,2005,193
Flood,2006,226
Flood,2007,218
Flood,2008,165
Flood,2009,151
Flood,2010,184
Flood,2011,156
Flood,2012,136
Flood,2013,149
Flood,2014,135
Flood,2015,160
Flood,2016,161
Flood,2017,114
Flood,2018,109
Flood,2019,170
Impact,2013,1
Wildfire,1911,1
Wildfire,1918,1
Wildfire,1922,1
Wildfire,1929,1
Wildfire,1939,1
Wildfire,1944,2
Wildfire,1947,1
Wildfire,1949,1
Wildfire,1956,1
Wildfire,1965,1
Wildfire,1966,1
Wildfire,1967,2
Wildfire,1968,3
Wildfire,1969,2
Wildfire,1970,3
Wildfire,1971,2
Wildfire,1972,3
Wildfire,1973,3
Wildfire,1974,3
Wildfire,1975,2
Wildfire,1976,1
Wildfire,1977,2
Wildfire,1978,3
Wildfire,1979,4
Wildfire,1980,4
Wildfire,1981,4
Wildfire,1982,3
Wildfire,1983,12
Wildfire,1984,7
Wildfire,1985,13
Wildfire,1986,6
Wildfire,1987,8
Wildfire,1989,3
Wildfire,1990,4
Wildfire,1991,8
Wildfire,1992,8
Wildfire,1993,2
Wildfire,1994,13
Wildfire,1995,7
Wildfire,1996,5
Wildfire,1997,16
Wildfire,1998,18
Wildfire,1999,22
Wildfire,2000,30
Wildfire,2001,14
Wildfire,2002,22
Wildfire,2003,14
Wildfire,2004,8
Wildfire,2005,13
Wildfire,2006,9
Wildfire,2007,18
Wildfire,2008,5
Wildfire,2009,9
Wildfire,2010,7
Wildfire,2011,8
Wildfire,2012,6
Wildfire,2013,10
Wildfire,2014,4
Wildfire,2015,12
Wildfire,2016,10
Wildfire,2017,13
Wildfire,2018,10
Wildfire,2019,13
